вероятно	верагодна
существует	існуе
экзамен	экзамен
как-нибудь	як-небудзь
или	ці
ли	ці
совершенно	зусім
совсем	зусім
автомобиль	аўтамабіль
вагон	вагон
эй	гэй
крыжовник	агрэст
ведь	бо
администрация	адміністрацыя
адрес	адрас
академик	акадэмік
академия	акадэмія
артист	артыст
аккуратно	акуратна
действие	дзеянне
акция	акцыя
же	ж
зато	затое
но	але
американец	амерыканец
анализ	аналіз
арест	арышт
листы	лісты
войско	войска
признак	прыкмета
белье	бялізну
хлóпок	хлапок
гораздо	значна
многие	многія
много	шмат
многое	многае
база	база
танк	танк
говорун	гаварун
батальон	батальён
родители	бацькі
отцы	бацькі
родина	радзіма
отец	бацька
видать	відаць
видеть	бачыць
бессмысленный	бессэнсоўны
безопасность	бяспека
непосредственно	непасрэдна
март	сакавік
биться	біцца
драться	біцца
библиотека	бібліятэка
бег	бег
беда	бяда
белье	бялізну
белок	бялок
более	больш
большинство	большасць
умолять	маліць
благородный	высакародны
блеск	бляск
блестящий	бліскучы
блестеть	блішчаць
ибо	бо
боец	баец
больно	балюча
долг	доўг
бороться	змагацца
борьба	барацьба
трус	баязлівец
недоставать	не хапаць
старшина	старшына
бровь	брыво
бродить	блукаць
грязь	бруд
грязно	брудна
штаны	штаны
быть	быць
тревога	трывога
здание	будынак
строение	будынак
строить	будаваць
любой	любы
найтись	знайсціся
явиться	з'явіцца
куст	куст
ресница	вейка
вес	вага
масса	маса
беременность	цяжарнасць
тяжело	цяжка
валяться	валяцца
тобой	табой
грузовик	грузавік
грузовик	грузавік
грузовой	грузавы
известняк	вапняк
вариант	варыянт
значение	значэнне
стоимость	кошт
стоить	каштаваць
предводитель	правадыр
твой	твой
убивать	забіваць
убийство	забойства
убийца	забойца
считать	лічыць
вежливо	ветліва
во	во
вслух	услых
вверх	уверх
удаваться	атрымоўвацца
медведь	мядзведзь
великан	велікан
Пасха	Вялікдзень
громадный	вялізны
сентябрь	верасень
версия	версія
вертолет	верталёт
правило	правіла
свадьба	вяселле
ужин	вячэру
вещий	прарочы
вообще	наогул
собственно	уласна
выбор	выбар
выборы	выбары
выбрать	абраць
выбраться	выбрацца
взрыв	выбух
вынуть	выняць
вывести	вывесці
вытащить	выцягнуць
изучать	вывучаць
придумать	прыдумаць
выдавать	выдаваць
выдать	выдаць
снимать	здымаць
определять	вызначаць
выехать	выехаць
выбросить	выкінуць
вызов	выклік
исключить	выключыць
исключительно	выключна
исполнение	выкананне
выполнять	выконваць
использование	выкарыстанне
пользоваться	карыстацца
использоваться	выкарыстоўвацца
исключение	выключэнне
произносить	прамаўляць
требование	патрабаванне
появление	з'яўленне
исключение	выключэнне
случайный	выпадковы
случайно	выпадкова
случай	выпадак
выпить	выпіць
пить	піць
испытать	выпрабаваць
выпускать	выпускаць
выражение	выраз
отчетливо	выразна
вырваться	вырвацца
разрешить	дазволіць
решать	вырашаць
решаться	вырашацца
производить	вырабляць
производство	вытворчасць
отправляться	адпраўляцца
осветить	асвятліць
выразить	выказаць
высказывание	выказванне
выводы	высновы
вывод	выснова
заключение	заключэнне
высоко	высока
высота	вышыня
выставить	выставіць
выставка	выстава
довольно	даволі
выступление	выступ
вытянуть	выцягнуць
воспитание	выхаванне
исходить	зыходзіць
вышеупомянутое	вышэйзгаданае
происходить	адбывацца
отвернуться	адвярнуцца
посетитель	наведвальнік
догадаться	здагадацца
отозваться	адгукнуцца
отдел	аддзел
оторвать	адарваць
открывать	адкрываць
открыть	адкрыць
открыться	адкрыцца
открытие	адкрыццё
эхо	рэха
отличие	адрозненне
отлично	выдатна
отличие	адрозненне
отказ	адмова
отказаться	адмовіцца
падать	падаць
отказываться	адмаўляцца
родственник	сваяк
задуматься	задумацца
внимание	увага
от	ад
ответственность	адказнасць
соответствовать	адпавядаць
ответ	адказ
отдыхать	адпачываць
отдых	адпачынак
отдохнуть	адпачыць
отправить	адправіць
послать	паслаць
посылать	пасылаць
прислать	даслаць
присылать	дасылаць
слать	слаць
отпуск	водпуск
ведро	вядро
процент	працэнт
даль	далеч
расстояние	адлегласць
отсутствие	адсутнасць
отойти	адысці
отчаяние	роспач
ощущать	адчуваць
почувствовать	адчуць
чувствовать	адчуваць
ощутить	адчуць
ощущение	адчуванне
чувство	пачуццё
ведьма	ведзьма
виза	віза
визит	візіт
тележка	каляска
война	вайна
войны	вайны
военный	ваенны
окно	акно
он	ён
полагать	меркаваць
стихи	вершы
восем	восем
восемьдесят	восемдзесят
восемьсот	восемсот
ветер	вецер
